SampleID,Sample_Name,seqrun,psyllid_spp,psyllid_genus,psyllid_family,hostplant_spp,Collection_Date,replicated,lat,long
24B_S73,24B,1,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.653888888888886,172.81222222222223
24b_S23,24B,2,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.653888888888886,172.81222222222223
24C_S74,24C,1,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.653888888888886,172.81222222222223
24c_S24,24C,2,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.653888888888886,172.81222222222223
31A_S75,31A,1,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.81888888888889,172.77861111111113
31a_S31,31A,2,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.81888888888889,172.77861111111113
31B_S76,31B,1,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.81888888888889,172.77861111111113
31b_S32,31B,2,Ctenarytaina_pollicaris,Ctenarytaina,Aphalaridae,Leptospermum_scoparius,14/9/14,TRUE,-43.81888888888889,172.77861111111113
41_S40,41,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,23/10/14,FALSE,-42.77333333333333,172.84833333333333
164_S131,164,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,29/3/15,FALSE,-43.775,172.7777777777778
172_S137,172,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,16/4/15,FALSE,-43.80972222222222,173.02416666666667
175_S140,175,2,Ctenarytaina_SHORT,Ctenarytaina,Aphalaridae,Kunzea_ericoides,16/4/15,FALSE,-43.80972222222222,173.02416666666667
